iter	Passed	Remaining
354	175947	1310933
355	176486	1310760
356	176947	1310006
357	177353	1308852
358	177844	1308324
359	178219	1306939
360	178596	1305584
361	179097	1305135
362	179622	1304864
363	180078	1304087
364	180466	1302819
365	180889	1301813
366	181345	1301039
367	181855	1300660
368	182318	1299946
369	182874	1299892
370	183046	1297114
371	183600	1297046
372	184127	1296789
373	184645	1296469
374	185176	1296233
375	185596	1295225
376	186086	1294705
377	186551	1294014
378	187113	1293998
379	187613	1293548
380	188148	1293338
381	188689	1293166
382	189136	1292350
383	189644	1291954
384	190149	1291533
385	190639	1291014
386	191169	1290761
387	191627	1290031
388	192115	1289492
389	192567	1288722
390	193050	1288154
391	193448	1287027
392	193971	1286727
393	194501	1286474
394	194953	1285706
395	195465	1285336
396	195927	1284631
397	196449	1284322
398	196895	1283523
399	197326	1282625
400	197848	1282312
401	198317	1281662
402	198820	1281235
403	199288	1280574
404	199912	1280923
405	200444	1280674
406	200483	1277281
407	201038	1277187
408	201548	1276804
409	202050	1276369
410	202682	1276753
411	203262	1276802
412	203826	1276753
413	204383	1276654
414	204931	1276503
415	205512	1276547
416	206068	1276440
417	206599	1276171
418	207129	1275900
419	207659	1275622
420	208156	1275146
421	208574	1274182
422	209085	1273790
423	209623	1273563
424	210088	1272888
425	210193	1270045
426	210700	1269632
427	211151	1268883
428	211734	1268923
429	212274	1268711
430	212862	1268781
431	213406	1268583
432	213991	1268631
433	214542	1268472
434	215023	1267899
435	215554	1267618
436	216100	1267424
437	216635	1267167
438	217121	1266625
439	217538	1265679
440	217993	1264954
441	218519	1264645
442	218999	1264066
443	219510	1263671
444	219990	1263091
445	220394	1262079
446	220876	1261516
447	221315	1260706
448	221697	1259579
449	222171	1258972
450	222582	1258011
451	222973	1256937
452	223352	1255803
453	223847	1255320
454	224298	1254594
455	224813	1254220
456	225269	1253521
457	225727	1252838
458	226182	1252135
459	226770	1252168
460	227408	1252473
461	227952	1252255
462	228395	1251491
463	228977	1251481
464	229524	1251277
465	230058	1251002
466	230558	1250547
