iter	MultiClass
0	2.264607538
1	2.228879274
2	2.197011303
3	2.166055534
4	2.138104387
5	2.111655085
6	2.085832027
7	2.059651951
8	2.034087948
9	2.009443786
10	1.987100377
11	1.965716218
12	1.943873171
13	1.922808956
14	1.902487154
15	1.883202592
16	1.866044332
17	1.848719338
18	1.830762495
19	1.815281522
20	1.799017877
21	1.782689438
22	1.766867778
23	1.752647219
24	1.738973277
25	1.725290065
26	1.711679222
27	1.699335026
28	1.685800459
29	1.671720322
30	1.657531891
31	1.642244918
32	1.629317492
33	1.614987492
34	1.600899711
35	1.58761172
36	1.575059094
37	1.562551801
38	1.549273701
39	1.537778903
40	1.525898131
41	1.515055018
42	1.50469779
43	1.493206055
44	1.482556385
45	1.47118311
46	1.460253017
47	1.450731763
48	1.441632178
49	1.431868819
50	1.422477604
51	1.41369868
52	1.404639877
53	1.39580824
54	1.386830952
55	1.377595523
56	1.369543011
57	1.360889702
58	1.352295134
59	1.344227395
60	1.337149295
61	1.329846415
62	1.32186346
63	1.31405821
64	1.30662885
65	1.299032345
66	1.291758432
67	1.284790461
68	1.278015366
69	1.271000851
70	1.264085879
71	1.257400679
72	1.251497045
73	1.24575397
74	1.239277361
75	1.232900288
76	1.226684041
77	1.220603147
78	1.214911222
79	1.209385283
80	1.203767841
81	1.198625729
82	1.193100898
83	1.188199558
84	1.18297626
85	1.177458902
86	1.172071793
87	1.167449729
88	1.162448783
89	1.157366636
90	1.152365001
91	1.147801361
92	1.143046181
93	1.138639103
94	1.133797952
95	1.129110849
96	1.124726904
97	1.12016075
98	1.115541136
99	1.111263516
100	1.106804448
101	1.102221909
102	1.098266083
103	1.09393285
104	1.089330012
105	1.085550516
106	1.081960276
107	1.077195681
108	1.07334023
109	1.069382914
110	1.065734326
111	1.061989305
112	1.058465873
113	1.054463585
114	1.050391462
115	1.04619078
116	1.042746877
117	1.039196835
118	1.034906676
119	1.031165892
120	1.027983744
121	1.024965644
122	1.021959832
123	1.018675957
124	1.015041583
125	1.011884357
126	1.008334808
127	1.004508937
128	1.001509981
129	0.9985072697
130	0.9957519991
131	0.9928382427
132	0.9899033633
133	0.9868947762
134	0.9842459348
135	0.9812660911
136	0.9778589873
137	0.9745284557
138	0.972199993
139	0.9694536989
140	0.9660958401
141	0.9633081799
142	0.9606694128
143	0.9581210879
144	0.955608509
145	0.9529547178
146	0.9500301425
147	0.9469754187
148	0.9445660449
149	0.9423909595
150	0.9395863561
151	0.9365770983
152	0.9343900469
153	0.931971175
154	0.928971481
155	0.926789395
156	0.9240371314
157	0.9214421722
158	0.9190273026
159	0.9169953278
160	0.9147073594
161	0.9120694309
162	0.9099294713
163	0.9075640641
164	0.905196863
165	0.9031527345
166	0.9013481028
167	0.8993232061
168	0.8971921901
169	0.894490541
170	0.892502163
171	0.8902062294
172	0.887515971
173	0.8852491973
174	0.8829947091
175	0.880656371
176	0.8779323103
177	0.8758604287
178	0.8733951754
179	0.8710877706
180	0.8691879982
181	0.8670499138
182	0.8650404824
183	0.8628903553
184	0.8607594708
185	0.8586218047
186	0.8561342594
187	0.8543269355
188	0.8522244565
189	0.8501551832
190	0.8480785988
191	0.8462254378
192	0.8443875625
193	0.8424343174
194	0.8406391288
195	0.8389617836
196	0.8373073827
197	0.8354881863
198	0.8336364953
199	0.8319051967
200	0.8297689464
201	0.8280301798
202	0.8264755192
203	0.8244213375
204	0.8225707751
205	0.8209135019
206	0.819332403
207	0.8175849175
208	0.8156614919
209	0.8139653734
210	0.8120909058
211	0.8104760796
212	0.8089166924
213	0.8072013505
214	0.8057830724
215	0.8040260437
216	0.8024340228
217	0.8007925599
218	0.7992866146
219	0.7976502922
220	0.7959501049
221	0.7942324454
222	0.7930580866
223	0.7915831365
224	0.7898864472
225	0.7882972675
226	0.7865850911
227	0.7851703762
228	0.783806995
229	0.7823801088
230	0.7807891505
231	0.7792010948
232	0.7775585929
233	0.7763667073
234	0.7746951138
235	0.7734452124
236	0.7724508839
237	0.7712129386
238	0.7696797402
239	0.7683295332
240	0.7668627144
241	0.7656016403
242	0.7645299782
243	0.7631422568
244	0.7620127725
245	0.7607532755
246	0.7592064473
247	0.7579608259
248	0.7567115925
249	0.7555309637
250	0.7541908984
251	0.7531835448
252	0.7517031036
253	0.750514149
254	0.748909721
255	0.7478718283
256	0.7464856254
257	0.7452784622
258	0.7440592731
259	0.7429085716
260	0.7420526002
261	0.7407468485
262	0.7393090909
263	0.7385176321
264	0.7373779691
265	0.736373366
266	0.7351194207
267	0.7341499543
268	0.7329550589
269	0.7316695453
270	0.7304985308
271	0.7295661605
272	0.728614034
273	0.7273790685
274	0.726236911
275	0.7252923978
276	0.7244768602
277	0.7233965816
278	0.7222905372
279	0.7213567617
280	0.7202117669
281	0.7191357631
282	0.7179390109
283	0.7168217726
284	0.7157202082
285	0.7144961427
286	0.7132741372
287	0.7123584505
288	0.7113823001
289	0.7107674116
290	0.7097622913
291	0.7088031213
292	0.7077879374
293	0.7067064133
294	0.7058686634
295	0.7048193586
296	0.7037743314
297	0.7030218293
298	0.7020081788
299	0.7009109375
300	0.700005029
301	0.6992422087
302	0.6981357425
303	0.697206971
304	0.6965027405
305	0.6953695726
306	0.6942386536
307	0.6932565435
308	0.6924287959
309	0.6915884778
310	0.690751873
311	0.689775249
312	0.6891748735
313	0.688308644
314	0.6874497967
315	0.6864301223
316	0.6856265586
317	0.6846301275
318	0.6837231709
319	0.6830840965
320	0.6821015402
321	0.6814250143
322	0.6806790744
323	0.680051043
324	0.6793825434
325	0.6783491117
326	0.6775283366
327	0.6769148685
328	0.6761255819
329	0.6755205521
330	0.6749771365
331	0.6742484869
332	0.6737433859
333	0.6729307791
334	0.6725658907
335	0.6717737605
336	0.6708923486
337	0.6701534331
338	0.6695110163
339	0.6686918805
340	0.6679656878
341	0.6671637943
342	0.6662812584
343	0.6658214019
344	0.6653066712
345	0.6646962735
346	0.6638543262
347	0.6632231981
348	0.6627259763
349	0.6621121524
350	0.6612264452
351	0.6605522388
352	0.6598422362
353	0.6591147662
354	0.6586932629
355	0.6578216639
356	0.6570454771
357	0.6564858851
358	0.6557577577
359	0.6549760968
360	0.6542912139
361	0.6537971386
362	0.6531596816
363	0.6529263732
364	0.6522442492
365	0.6516194781
366	0.651376542
367	0.6509331299
368	0.6504171829
369	0.6498401736
370	0.6496176729
371	0.6491781058
372	0.6487530456
373	0.6479431323
374	0.6471970155
375	0.6465023791
376	0.6460305771
377	0.6454133062
378	0.6450485455
379	0.6445285961
380	0.6440738245
381	0.6436884868
382	0.6434848388
383	0.6430343182
384	0.6427778519
385	0.6420853815
386	0.6417999845
387	0.6412049425
388	0.6410795367
389	0.6405633298
390	0.6403637638
391	0.6397588081
392	0.6391249719
393	0.6387021593
394	0.6386728025
395	0.638307618
396	0.6381511773
397	0.6376821333
398	0.6374704198
399	0.6370706551
400	0.6367966958
401	0.6366756652
402	0.6365300881
403	0.6363044197
404	0.6358393565
405	0.6352750156
406	0.6352579307
407	0.6350532165
408	0.6347694306
409	0.634599694
410	0.6343039599
411	0.6335890456
412	0.6332873468
413	0.6327263299
414	0.6324287601
415	0.631889193
416	0.6314093528
417	0.6311530616
418	0.6309069301
419	0.6305019395
420	0.630059173
421	0.6298258867
422	0.6293608696
423	0.6290853026
424	0.6288116694
425	0.6287975027
426	0.6286035506
427	0.6285071649
428	0.6282212668
429	0.6280291107
430	0.6278657523
431	0.627792374
432	0.6275369085
433	0.627319122
434	0.6268400129
435	0.6263257665
436	0.6258530174
437	0.6255970281
438	0.6254584539
439	0.625255828
440	0.6248589277
441	0.624509791
442	0.6243031085
443	0.6240446752
444	0.6240142397
445	0.6239982469
446	0.6238845409
447	0.6234911337
448	0.6232835757
449	0.6231091446
450	0.6225603209
451	0.6219431783
452	0.6212716036
453	0.6211473104
454	0.6209540439
455	0.6203568764
456	0.619857474
457	0.619582351
458	0.6190196995
459	0.6188722146
460	0.6185898033
461	0.6180699889
462	0.6174698334
463	0.617219962
464	0.6169490757
465	0.6167876366
466	0.6166644646
467	0.6165054651
468	0.6160300379
469	0.6158143643
470	0.6155748076
471	0.6151040757
472	0.6150957106
473	0.6146296334
474	0.614400676
475	0.6142939162
476	0.6138706071
477	0.6138434774
478	0.6138051443
479	0.6134476265
480	0.6132796791
481	0.6128120204
482	0.6127357387
483	0.6125294578
484	0.6123313171
485	0.6122761936
486	0.6117704117
487	0.6115107083
488	0.6109510422
489	0.6106121964
490	0.6104391213
491	0.6101688989
492	0.6100681634
493	0.6098544212
494	0.6097490116
495	0.6095826205
496	0.6093754777
497	0.6090184756
498	0.6088347692
499	0.6086107744
500	0.6084640816
501	0.6081717344
502	0.6079895469
503	0.6078916674
504	0.6077998626
505	0.6076697336
506	0.6076297202
507	0.6075955829
508	0.6074301947
509	0.6073208798
510	0.607144458
511	0.6070149824
512	0.6068493153
513	0.6066312183
514	0.6062768391
515	0.606116273
516	0.6060005828
517	0.6057706188
518	0.6056270997
519	0.6051439195
520	0.6045641892
521	0.6041367535
522	0.6035531051
523	0.6032662487
524	0.6030783301
525	0.60287388
526	0.6027596555
527	0.602508583
528	0.6024805626
529	0.6020136634
530	0.6018947715
531	0.6017973129
532	0.601519794
533	0.6009663173
534	0.6009615868
535	0.6008909858
536	0.6008467876
537	0.6003640463
538	0.6000458972
539	0.600032907
540	0.5999192335
541	0.5998267427
542	0.5996567975
543	0.5995748069
544	0.599493347
545	0.5993710902
546	0.5991497951
547	0.5988636505
548	0.5986756849
549	0.5982604997
550	0.5977305613
551	0.5973414987
552	0.5970979896
553	0.5969822367
554	0.5968670068
555	0.5964153635
556	0.5963453169
557	0.5962648119
558	0.5962103954
559	0.5957688482
560	0.5956905715
561	0.5954683698
562	0.5954588025
563	0.5952611489
564	0.5951975711
565	0.5949752873
566	0.59458285
567	0.5945803426
568	0.5943283548
569	0.5942487388
570	0.5941175415
571	0.5939870032
572	0.5939618935
573	0.5938944505
574	0.5935325454
575	0.5931851044
576	0.5929339137
577	0.5927695412
578	0.5927432659
579	0.5926129351
580	0.5923632519
581	0.5919969968
582	0.5918398859
583	0.591750414
584	0.5916196235
585	0.5915115435
586	0.5910110987
587	0.590612794
588	0.5905839136
589	0.5901301862
590	0.5899958637
591	0.5899154816
592	0.5897966821
593	0.5895867894
594	0.589469957
595	0.5892348078
596	0.5891712699
597	0.5888209403
598	0.5886855172
599	0.5884710948
600	0.5882749831
601	0.588156556
602	0.5880460838
603	0.5879171115
604	0.5878681923
605	0.5875840759
606	0.5874432017
607	0.5873826282
608	0.5873183197
609	0.587303687
610	0.587194244
611	0.5870513824
612	0.5869644525
613	0.5869235396
614	0.5868725868
615	0.5867855143
616	0.5866243296
617	0.5865401684
618	0.5864738002
619	0.5862193202
620	0.586105692
621	0.5860513014
622	0.5860188639
623	0.5859697714
624	0.5857837426
625	0.5856315063
626	0.5853486864
627	0.5853004144
628	0.5852002991
629	0.5850969657
630	0.5850137054
631	0.5847918489
632	0.5847695063
633	0.5847441689
634	0.5846438817
635	0.5845396663
636	0.5843473359
637	0.5843109622
638	0.5842525466
639	0.58395534
640	0.5839352895
641	0.5837822614
642	0.5835986404
643	0.5834780363
644	0.5834547752
645	0.5830682274
646	0.5830029
647	0.5829938635
648	0.5828878223
